% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
0.121	1	15	13	2	1	28	185	0	0
0.121	1	9	13	2	2	28	185	0	0
0.121	1	7	13	2	3	28	185	0	0
0.121	1	10	13	2	4	28	185	0	0
0.121	1	11	13	2	13	28	185	0	0
0.121	1	18	13	2	14	28	185	0	0
0.121	1	23	13	2	15	26	149	0	0
0.121	1	14	13	2	16	28	185	0	0
0.121	1	24	13	2	25	24	133	0	0
0.121	1	1	13	2	26	28	185	0	0
0.121	1	17	13	2	27	28	185	0	0
0.121	1	3	13	2	28	28	185	0	0
0.122	1	3	13	3	28	28	185	0	0
0.122	1	8	13	3	34	28	185	0	0
0.122	1	16	13	3	35	28	185	0	0
0.122	1	5	13	3	36	28	185	0	0
0.122	1	2	13	3	37	28	185	0	0
0.122	1	19	13	3	43	28	185	0	0
0.122	1	6	13	3	44	28	185	0	0
0.122	1	25	13	3	45	22	113	0	0
0.122	1	4	13	3	46	28	185	0	0
0.122	1	22	13	3	48	28	185	0	0
0.122	1	12	13	3	49	28	185	0	0
0.122	1	13	13	3	50	28	185	0	0
0.123	1	13	13	4	50	28	185	0	0
0.123	1	20	13	4	51	28	185	0	0
0.123	1	21	13	4	53	28	185	0	0
0.123	1	15	13	4	1	28	185	0	0
0.123	1	9	13	4	2	28	185	0	0
0.123	1	7	13	4	3	28	185	0	0
0.123	1	10	13	4	4	28	185	0	0
0.123	1	11	13	4	13	28	185	0	0
0.123	1	18	13	4	14	28	185	0	0
0.123	1	23	13	4	15	26	149	0	0
0.123	1	14	13	4	16	28	185	0	0
0.123	1	24	13	4	25	24	133	0	0
0.124	1	24	13	5	25	24	133	0	0
0.124	1	1	13	5	26	28	185	0	0
0.124	1	17	13	5	27	28	185	0	0
0.124	1	3	13	5	28	28	185	0	0
0.124	1	8	13	5	34	28	185	0	0
0.124	1	16	13	5	35	28	185	0	0
0.124	1	5	13	5	36	28	185	0	0
0.124	1	2	13	5	37	28	185	0	0
0.124	1	19	13	5	43	28	185	0	0
0.124	1	6	13	5	44	28	185	0	0
0.124	1	25	13	5	45	22	113	0	0
0.124	1	4	13	5	46	28	185	0	0
0.125	1	4	13	6	46	28	185	0	0
0.125	1	22	13	6	48	28	185	0	0
0.125	1	12	13	6	49	28	185	0	0
0.125	1	13	13	6	50	28	185	0	0
0.125	1	20	13	6	51	28	185	0	0
0.125	1	21	13	6	53	28	185	0	0
0.125	1	15	13	6	1	28	185	0	0
0.125	1	9	13	6	2	28	185	0	0
0.125	1	7	13	6	3	28	185	0	0
0.125	1	10	13	6	4	28	185	0	0
0.125	1	11	13	6	13	28	185	0	0
0.125	1	18	13	6	14	28	185	0	0
0.126	1	18	13	7	14	28	185	0	0
0.126	1	23	13	7	15	26	149	0	0
0.126	1	14	13	7	16	28	185	0	0
0.126	1	24	13	7	25	24	133	0	0
0.126	1	1	13	7	26	28	185	0	0
0.126	1	17	13	7	27	28	185	0	0
0.126	1	3	13	7	28	28	185	0	0
0.126	1	8	13	7	34	28	185	0	0
0.126	1	16	13	7	35	28	185	0	0
0.126	1	5	13	7	36	28	185	0	0
0.126	1	2	13	7	37	28	185	0	0
0.126	1	19	13	7	43	28	185	0	0
0.127	1	19	13	8	43	28	185	0	0
0.127	1	6	13	8	44	28	185	0	0
0.127	1	25	13	8	45	22	113	0	0
0.127	1	4	13	8	46	28	185	0	0
0.127	1	22	13	8	48	28	185	0	0
0.127	1	12	13	8	49	28	185	0	0
0.127	1	13	13	8	50	28	185	0	0
0.127	1	20	13	8	51	28	185	0	0
0.127	1	21	13	8	53	28	185	0	0
0.127	1	15	13	8	1	28	185	0	0
0.127	1	9	13	8	2	28	185	0	0
0.127	1	7	13	8	3	28	185	0	0
0.128	1	23	13	9	15	26	149	0	0
0.128	1	24	13	9	25	24	133	0	0
0.128	1	7	13	9	3	28	185	0	0
0.128	1	10	13	9	4	28	185	0	0
0.128	1	11	13	9	13	28	185	0	0
0.128	1	18	13	9	14	28	185	0	0
0.128	1	14	13	9	16	28	185	0	0
0.128	1	1	13	9	26	28	185	0	0
0.128	1	17	13	9	27	28	185	0	0
0.128	1	3	13	9	28	28	185	0	0
0.128	1	8	13	9	34	28	185	0	0
0.128	1	16	13	9	35	28	185	0	0
0.129	1	22	13	10	48	28	185	0	0
0.129	1	25	13	10	45	22	113	0	0
0.129	1	16	13	10	35	28	185	0	0
0.129	1	5	13	10	36	28	185	0	0
0.129	1	2	13	10	37	28	185	0	0
0.129	1	19	13	10	43	28	185	0	0
0.129	1	6	13	10	44	28	185	0	0
0.129	1	4	13	10	46	28	185	0	0
0.129	1	12	13	10	49	28	185	0	0
0.129	1	13	13	10	50	28	185	0	0
0.129	1	20	13	10	51	28	185	0	0
0.129	1	21	13	10	53	28	185	0	0
0.13	1	23	14	1	15	26	149	0	0
0.13	1	24	14	1	25	24	133	0	0
0.13	1	21	14	1	53	28	185	0	0
0.13	1	15	14	1	1	28	185	0	0
0.13	1	9	14	1	2	28	185	0	0
0.13	1	7	14	1	3	28	185	0	0
0.13	1	10	14	1	4	28	185	0	0
0.13	1	11	14	1	13	28	185	0	0
0.13	1	18	14	1	14	28	185	0	0
0.13	1	14	14	1	16	28	185	0	0
0.13	1	1	14	1	26	28	185	0	0
0.13	1	17	14	1	27	28	185	0	0
0.131	1	24	14	2	25	24	133	0	0
0.131	1	25	14	2	45	22	113	0	0
0.131	1	17	14	2	27	28	185	0	0
0.131	1	3	14	2	28	28	185	0	0
0.131	1	8	14	2	34	28	185	0	0
0.131	1	16	14	2	35	28	185	0	0
0.131	1	5	14	2	36	28	185	0	0
0.131	1	2	14	2	37	28	185	0	0
0.131	1	19	14	2	43	28	185	0	0
0.131	1	6	14	2	44	28	185	0	0
0.131	1	4	14	2	46	28	185	0	0
0.131	1	22	14	2	48	28	185	0	0
0.132	1	22	14	3	48	28	185	0	0
0.132	1	12	14	3	49	28	185	0	0
0.132	1	13	14	3	50	28	185	0	0
0.132	1	20	14	3	51	28	185	0	0
0.132	1	21	14	3	53	28	185	0	0
0.132	1	15	14	3	1	28	185	0	0
0.132	1	9	14	3	2	28	185	0	0
0.132	1	10	14	3	4	28	185	0	0
0.132	1	11	14	3	13	28	185	0	0
0.132	1	23	14	3	15	26	149	0	0
0.132	1	14	14	3	16	28	185	0	0
0.132	1	24	14	3	25	24	133	0	0
0.133	1	23	14	4	15	26	149	0	0
0.133	1	24	14	4	25	24	133	0	0
0.133	1	1	14	4	26	28	185	0	0
0.133	1	8	14	4	34	28	185	0	0
0.133	1	5	14	4	36	28	185	0	0
0.133	1	2	14	4	37	28	185	0	0
0.133	1	6	14	4	44	28	185	0	0
0.133	1	25	14	4	45	22	113	0	0
0.133	1	22	14	4	48	28	185	0	0
0.133	1	12	14	4	49	28	185	0	0
0.133	1	20	14	4	51	28	185	0	0
0.134	1	22	14	5	48	28	185	0	0
0.134	1	25	14	5	45	22	113	0	0
0.134	1	24	14	5	25	24	669	0	0
0.134	1	23	14	5	15	26	749	0	0
0.135	1	25	14	6	45	22	693	0	0
0.135	1	22	14	6	48	28	1095	0	0
0.138	1	22	14	9	48	28	185	0	0
0.139	1	23	14	10	15	26	149	0	0
0.139	1	24	14	10	25	24	133	0	0
0.14	1	22	15	1	48	28	185	0	0
0.14	1	25	15	1	45	22	113	0	0
0.141	1	23	15	2	15	26	749	0	0
0.141	1	24	15	2	25	24	669	0	0
0.142	1	22	15	3	48	28	1095	0	0
0.142	1	25	15	3	45	22	693	0	0
0.221	1	22	23	2	48	28	185	0	0
0.221	1	12	23	2	49	28	185	0	0
0.221	1	13	23	2	50	28	185	0	0
0.221	1	20	23	2	51	28	185	0	0
0.221	1	21	23	2	53	28	185	0	0
0.221	1	15	23	2	1	28	185	0	0
0.221	1	9	23	2	2	28	185	0	0
0.221	1	7	23	2	3	28	185	0	0
0.221	1	10	23	2	4	28	185	0	0
0.221	1	11	23	2	13	28	185	0	0
0.221	1	18	23	2	14	28	185	0	0
0.221	1	23	23	2	15	26	149	0	0
0.222	1	23	23	3	15	26	149	0	0
0.222	1	14	23	3	16	28	185	0	0
0.222	1	24	23	3	25	24	133	0	0
0.222	1	1	23	3	26	28	185	0	0
0.222	1	17	23	3	27	28	185	0	0
0.222	1	3	23	3	28	28	185	0	0
0.222	1	8	23	3	34	28	185	0	0
0.222	1	16	23	3	35	28	185	0	0
0.222	1	5	23	3	36	28	185	0	0
0.222	1	2	23	3	37	28	185	0	0
0.222	1	19	23	3	43	28	185	0	0
0.222	1	6	23	3	44	28	185	0	0
0.223	1	6	23	4	44	28	185	0	0
0.223	1	25	23	4	45	22	113	0	0
0.223	1	4	23	4	46	28	185	0	0
0.223	1	22	23	4	48	28	185	0	0
0.223	1	12	23	4	49	28	185	0	0
0.223	1	13	23	4	50	28	185	0	0
0.223	1	20	23	4	51	28	185	0	0
0.223	1	21	23	4	53	28	185	0	0
0.223	1	15	23	4	1	28	185	0	0
0.223	1	9	23	4	2	28	185	0	0
0.223	1	7	23	4	3	28	185	0	0
0.223	1	10	23	4	4	28	185	0	0
0.224	1	10	23	5	4	28	185	0	0
0.224	1	11	23	5	13	28	185	0	0
0.224	1	18	23	5	14	28	185	0	0
0.224	1	23	23	5	15	26	149	0	0
0.224	1	14	23	5	16	28	185	0	0
0.224	1	24	23	5	25	24	133	0	0
0.224	1	1	23	5	26	28	185	0	0
0.224	1	17	23	5	27	28	185	0	0
0.224	1	3	23	5	28	28	185	0	0
0.224	1	8	23	5	34	28	185	0	0
0.224	1	16	23	5	35	28	185	0	0
0.224	1	5	23	5	36	28	185	0	0
0.225	1	5	23	6	36	28	185	0	0
0.225	1	2	23	6	37	28	185	0	0
0.225	1	19	23	6	43	28	185	0	0
0.225	1	6	23	6	44	28	185	0	0
0.225	1	25	23	6	45	22	113	0	0
0.225	1	4	23	6	46	28	185	0	0
0.225	1	22	23	6	48	28	185	0	0
0.225	1	12	23	6	49	28	185	0	0
0.225	1	13	23	6	50	28	185	0	0
